ident,type,name,latitude_deg,longitude_deg,iso_country,iso_region
CL-0001,closed,Bahia Catalina Airport,-53.1315,-70.87,CL,CL-MA
CL-0002,closed,Gente Grande Airport,-53.064,-70.26,CL,CL-MA
CL-0003,closed,Kimiri Ayke Airport,-52.403,-69.704,CL,CL-MA
SCAR,medium_airport,Chacalluta Airport,-18.348499,-70.338699,CL,CL-AP
SCAT,medium_airport,Desierto de Atacama Airport,-27.26119995,-70.77919769,CL,CL-AT
SCBA,medium_airport,Balmaceda Airport,-45.91609955,-71.6894989,CL,CL-AI
SCBE,medium_airport,Barriles Airport,-22.14109993,-70.06289673,CL,CL-AN
SCCC,medium_airport,Chile Chico Airport,-46.58330154,-71.68740082,CL,CL-AI
SCCF,medium_airport,El Loa Airport,-22.49819946,-68.9036026,CL,CL-AN
SCCH,medium_airport,Gral. Bernardo O´Higgins Airport,-36.58250046,-72.03140259,CL,CL-BI
SCCI,medium_airport,Pdte. Carlos Ibañez del Campo Airport,-53.002602,-70.854599,CL,CL-MA
SCCY,medium_airport,Teniente Vidal Airport,-45.59420013,-72.10610199,CL,CL-AI
SCDA,medium_airport,Diego Aracena Airport,-20.53520012,-70.1812973,CL,CL-TA
SCEL,large_airport,Comodoro Arturo Merino Benítez International Airport,-33.39300156,-70.78579712,CL,CL-RM
SCES,medium_airport,Ricardo García Posada Airport,-26.31110001,-69.76519775,CL,CL-AT
SCFA,medium_airport,Andrés Sabella Gálvez International Airport,-23.444501,-70.445099,CL,CL-AN
SCFM,medium_airport,Capitan Fuentes Martinez Airport Airport,-53.25370026,-70.31919861,CL,CL-MA
SCGZ,medium_airport,Guardiamarina Zañartu Airport,-54.93109894,-67.626297,CL,CL-MA
SCHR,medium_airport,Cochrane Airport,-47.24380112,-72.58840179,CL,CL-AI
SCIE,medium_airport,Carriel Sur Airport,-36.772701,-73.063103,CL,CL-BI
SCIP,medium_airport,Mataveri Airport,-27.16480064,-109.4219971,CL,CL-VS
SCJO,medium_airport,Cañal Bajo Carlos - Hott Siebert Airport,-40.61119843,-73.06099701,CL,CL-LL
SCLL,medium_airport,Vallenar Airport,-28.59639931,-70.7559967,CL,CL-AT
SCMB,closed,La Chimba Airport,-23.55360031,-70.39610291,CL,CL-AN
SCMN,closed,Mansel Airport,-33.85720062,-70.77030182,CL,CL-RM
SCNT,medium_airport,Tte. Julio Gallardo Airport,-51.67150116,-72.52839661,CL,CL-MA
SCQP,medium_airport,La Araucanía Airport,-38.9259,-72.6515,CL,CL-AR
SCRA,medium_airport,Chañaral Airport,-26.33250046,-70.6072998,CL,CL-AT
SCRG,medium_airport,De La Independencia Airport,-34.17369843,-70.77570343,CL,CL-LI
SCSE,medium_airport,La Florida Airport,-29.916201,-71.199501,CL,CL-CO
SCTC,medium_airport,Maquehue Airport,-38.76679993,-72.63710022,CL,CL-AR
SCTE,medium_airport,El Tepual Airport,-41.43889999,-73.09400177,CL,CL-LL
SCTI,closed,Los Cerrillos Airport,-33.49359894,-70.69779968,CL,CL-RM
SCTL,medium_airport,Panguilemo Airport,-35.37779999,-71.60169983,CL,CL-ML
SCTN,medium_airport,Chaitén Airport,-42.93280029,-72.69909668,CL,CL-LL
SCTO,medium_airport,Victoria Airport,-38.24560165,-72.34860229,CL,CL-AR
SCTT,medium_airport,Las Breas Airport,-25.56430054,-70.37590027,CL,CL-AN
SCVD,medium_airport,Pichoy Airport,-39.65000153,-73.08609772,CL,CL-LR
SCVM,medium_airport,Viña del mar Airport,-32.9496,-71.4786,CL,CL-VS
FKKC,medium_airport,Tiko Airport,4.089190006,9.3605299,CM,CM-SW
FKKD,medium_airport,Douala International Airport,4.006080151,9.719479561,CM,CM-LT
FKKL,medium_airport,Salak Airport,10.4513998,14.25739956,CM,CM-EN
FKKM,medium_airport,Foumban Nkounja Airport,5.636919975,10.75080013,CM,CM-OU
FKKN,medium_airport,N'Gaoundéré Airport,7.357009888,13.55920029,CM,CM-AD
FKKR,medium_airport,Garoua International Airport,9.335889816,13.37010002,CM,CM-NO
FKKU,medium_airport,Bafoussam Airport,5.536920071,10.35459995,CM,CM-OU
FKKV,medium_airport,Bamenda Airport,6.039239883,10.1225996,CM,CM-NW
FKKY,medium_airport,Yaoundé Airport,3.83604002,11.52350044,CM,CM-CE
FKYS,medium_airport,Yaoundé Nsimalen International Airport,3.722559929,11.5532999,CM,CM-CE
AHJ,medium_airport,Hongyuan Airport,32.53154,102.35224,CN,CN-51
AXF,medium_airport,Alxa Left Banner Bayanhot Airport,38.74831,105.58858,CN,CN-15
CN-0001,closed,Old Guangzhou Baiyun International Airport,23.18420029,113.2659988,CN,CN-44
CN-0002,medium_airport,Nanjing Air Base,31.99830055,118.8119965,CN,CN-32
CN-0003,medium_airport,Laohutun Air Base,39.66999817,121.7659988,CN,CN-21
CN-0004,medium_airport,Pulandian Air Base,39.45090103,122.0179977,CN,CN-21
CN-0006,medium_airport,Beijing Shahezhen Air Base,40.14916611,116.3213882,CN,CN-11
CN-0007,medium_airport,Beijing Tongxian Air Base,39.81111145,116.7083359,CN,CN-11
CN-0010,medium_airport,Yinchuan Hedong International Airport,38.322758,106.393214,CN,CN-64
CN-0011,medium_airport,Duplicate --Yantai Penglai International Airport,37.65722,120.9872,CN,CN-U-A
CN-0012,medium_airport,Yuanmou Air Base,25.73749924,101.8820038,CN,CN-53
CN-0013,medium_airport,Fengning Air Base,41.26079941,116.6179962,CN,CN-13
CN-0014,medium_airport,Hohhot Air Base,40.73720169,111.2289963,CN,CN-15
CN-0015,medium_airport,Huairen Air Base,39.71749878,113.1429977,CN,CN-14
CN-0016,medium_airport,Liangxiangzhen Air Base,39.75780106,116.1259995,CN,CN-11
CN-0018,medium_airport,Tangguantun Air Base,38.78110123,117.0680008,CN,CN-12
CN-0019,closed,Tangshan Air Base,39.65639877,118.1360016,CN,CN-13
CN-0020,medium_airport,Wenshui Air Base,37.40779877,111.9660034,CN,CN-14
CN-0021,medium_airport,Yangcun Air Base,39.37329865,117.0950012,CN,CN-12
CN-0022,medium_airport,Yongning Air Base,40.50310135,116.1080017,CN,CN-11
CN-0024,medium_airport,Zhangjiakou Ningyuan Airport,40.73860168,114.9300003,CN,CN-13
CN-0025,medium_airport,Zunhua Air Base,40.10250092,117.887001,CN,CN-13
CN-0026,medium_airport,Chengdu Air Base,30.70529938,103.9499969,CN,CN-51
CN-0027,medium_airport,Baoshan Yunduan Airport,25.053301,99.168297,CN,CN-53
CN-0030,medium_airport,Chongqing Air Base,29.49530029,106.3590012,CN,CN-50
CN-0032,closed,Kunming Wujiaba International Airport,24.9924,102.7435,CN,CN-53
CN-0040,medium_airport,Lintsang Airfield,23.73810005,100.0250015,CN,CN-53
CN-0041,medium_airport,Luliang Air Base,24.98830032,103.6419983,CN,CN-53
CN-0042,closed,Old Dangyang Airport,30.823,111.8121,CN,CN-42
CN-0043,medium_airport,Mengzi Air Base,23.39529991,103.3339996,CN,CN-53
CN-0044,closed,Yichang Tu Men Wu Airport,30.671,111.4404,CN,CN-42
CN-0045,medium_airport,Qionglai Air Base,30.48999977,103.4649963,CN,CN-51
CN-0046,medium_airport,Shigatse Air Base,29.3519,89.311401,CN,CN-54
CN-0047,closed,Old Yueyang Airport,29.424,113.0416,CN,CN-43
CN-0048,medium_airport,Wenshan Air Base,23.71559906,103.8270035,CN,CN-53
CN-0049,medium_airport,Xiangyun Midu Air Base,25.44529915,100.7350006,CN,CN-53
CN-0050,medium_airport,Bao'anying Airport,26.54,101.79852,CN,CN-51
CN-0053,medium_airport,Baihe Ning Ming Air Base,22.12059975,107.125,CN,CN-45
CN-0055,medium_airport,Changsha Datuopu Airport/AFB,28.06889915,112.9580002,CN,CN-43
CN-0056,medium_airport,Dangyang Air Base,30.79859924,111.8099976,CN,CN-42
CN-0057,medium_airport,Foluo Northeast Air Base,18.69219971,109.1610031,CN,CN-46
CN-0058,closed,Donggang Airport,39.948964,124.145162,CN,CN-21
CN-0061,medium_airport,Foshan Shadi Airport,23.08329964,113.0699997,CN,CN-44
CN-0063,medium_airport,Guiping Mengshu Air Base,23.3307991,110.0090027,CN,CN-45
CN-0065,closed,Hanzhong Xiguan Airport,33.063599,107.008003,CN,CN-61
CN-0067,medium_airport,Xinyang Minggang Airport,32.540819,114.079141,CN,CN-41
CN-0068,medium_airport,Huizhou Airport,23.04999924,114.5999985,CN,CN-44
CN-0069,medium_airport,Jialaishi Air Base,19.69720078,109.7259979,CN,CN-46
CN-0070,closed,Changchun East Airport,43.888157,125.405307,CN,CN-22
CN-0071,medium_airport,Leiyang Air Base,26.58720016,112.8919983,CN,CN-43
CN-0072,medium_airport,Lingshui Air Base,18.49440002,109.987999,CN,CN-46
CN-0074,medium_airport,Shangqiu Air Base,34.449507,115.459261,CN,CN-41
CN-0076,medium_airport,Zhengzhou Air Base,34.86125,113.729631,CN,CN-41
CN-0079,medium_airport,Shaoguan Guitou Airport,24.97859955,113.4209976,CN,CN-44
CN-0080,medium_airport,Suixi Air Base,21.39579964,110.1999969,CN,CN-44
CN-0081,medium_airport,Jinggangshan Airport,26.85689926,114.7369995,CN,CN-36
CN-0082,medium_airport,Baise Youjiang Airport,23.72060013,106.9599991,CN,CN-45
CN-0083,large_airport,Guodu air base,36.001741,117.63201,CN,CN-U-A
CN-0084,closed,Wuhan Air Base,30.59860039,114.2419968,CN,CN-42
